evaluation_date,vol_amount_26,total_balance,avg_amount_26,avg_amount_12,avg_week_amount_14,weighted_avg_day_26,avg_week_amount_20,vol_amount_13
738511,0.0,94.73,0.0,-148.34,-2904.74,0.0,-217.71,0.0
738711,0.0,1390.77,0.0,0.0,-452.39,0.0,-695.14,0.0
738603,0.0,664.48,0.0,-566.5766666666667,-2546.6800000000003,0.0,-470.735,-0.39116291007928117
738456,-0.9963777371264988,690.33,-88.0,-788.4616666666667,-1864.085,2.704545454545455,-42.385,-1.5136934361182486
738654,0.0,8.77,0.0,-353.065,-2220.34,0.0,-51.72,-0.0
738526,0.0,126.83,0.0,-163.1914285714286,-1787.58,0.0,-123.57000000000001,-0.3792433185936037
738686,0.0,-492.43,0.0,-10.0,-1510.09,0.0,-145.95000000000002,0.0
738457,-0.42015130397335404,598.72,-236.66666666666666,-328.5975,-269.45500000000004,4.558084507042253,-10.0,0.0
738489,0.0,0.0,0.0,-675.7266666666667,-2263.34,0.0,-550.98,0.0
738713,0.0,72.95,0.0,114.25,-11259.92,0.0,-130.69,-0.6987394686980993
738639,0.0,206.77,0.0,-177.73666666666668,-2152.415,0.0,-53.765,0.0
738522,-0.0,809.67,-100.0,-219.8,-1375.6550000000002,14.5,-76.44000000000001,-0.0
738498,-0.9730864155397201,0.13,-293.4975,-2094.5414285714287,-4170.65,1.9224567500574956,0.0,-0.10067346933335868
738455,0.0,7.84,0.0,-77.32333333333334,-1982.3899999999999,0.0,-280.23499999999996,-0.0
738634,0.0,58.83,0.0,-420.66,-1281.17,0.0,-6491.66,-0.6582285640286815
738685,0.0,239.18,0.0,-635.2671428571429,-1199.53,0.0,-268.32,0.0
738610,0.0,203.17,0.0,-874.016,-1015.25,0.0,-198.17,0.0
738673,0.0,78.98,0.0,-53.0,-954.625,0.0,-182.79500000000002,-0.02376041599908526
738504,-0.0,190.21,-20.0,-109.9775,-173.39000000000001,14.5,-48.43,0.0
738490,-0.0,-100.98,-58.96,-278.5575,-2200.355,5.906716417910449,-210.41000000000003,-0.6299795470533738
